finished building vertex covers
graph: 91661a62-d6f5-47dc-94ea-7d741c90b6ce, greedy: 289, nn: 297
graph: af7b5a59-7abe-453e-ba21-263a3de98241, greedy: 285, nn: 299
graph: c7275d47-5dfb-41ea-8dfd-acc4b3b3db76, greedy: 280, nn: 296
graph: 12582903-ff0a-459c-8796-4b383a59b9f8, greedy: 290, nn: 296
graph: 153eec63-f5c0-4a59-be79-07abf016f789, greedy: 291, nn: 299
graph: 02c20a88-00e8-4392-a574-c13ab5eb4d5e, greedy: 283, nn: 293
graph: e3f4b76b-6556-4270-b639-b3d8cb1f9d85, greedy: 292, nn: 294
graph: 27f49d36-7e75-475f-bf25-da62a7fe86c9, greedy: 259, nn: 297
graph: 8ee14f65-28b7-42a3-940a-02a5f3351897, greedy: 296, nn: 298
graph: 4101ec8d-881c-4abb-ab9d-483a34ebfc5d, greedy: 298, nn: 299
graph: 6bb94696-b7f2-4cda-9e14-fba39f32933a, greedy: 286, nn: 299
graph: 9aed2023-a741-4f32-9847-cb8a36fd3ede, greedy: 296, nn: 295
graph: cb90a8dc-7971-4f48-93d1-8a157109badd, greedy: 295, nn: 298
graph: c28dded5-deb4-411a-93e8-bd86652cd129, greedy: 291, nn: 295
graph: 3de002cd-95fd-4d51-ba9a-f7b78ecb2bc8, greedy: 265, nn: 298
graph: e0859ee7-90bb-4c7e-953c-f48617004093, greedy: 285, nn: 299
graph: 1a55b968-1085-4b0b-a94b-1769a5df1d05, greedy: 291, nn: 297
graph: 0c9a4fdd-950b-49e8-9f9c-36aa444ae0d1, greedy: 287, nn: 296
graph: 24a2e5d8-d040-4166-8d99-cb1de3643c74, greedy: 299, nn: 297
graph: 9b71b1f7-820b-4a47-8bfe-1b5331ca9f03, greedy: 271, nn: 295
graph: 138ed448-5688-4708-b713-7ea71f32af15, greedy: 292, nn: 293
graph: 78f7a636-74db-4afd-ad51-cfc2ab8c22ed, greedy: 291, nn: 293
graph: f39d804b-2fdf-44ef-9452-ae25e05b66f8, greedy: 281, nn: 295
graph: 70b01a1c-0631-4561-9e19-0f442a84b82d, greedy: 289, nn: 296
graph: 01f35ccf-3bac-45c5-82a6-5478baaf2973, greedy: 280, nn: 288
graph: 7e5c61d5-f287-4696-810d-7d45456040cd, greedy: 277, nn: 298
graph: 8bbb437f-72b6-407b-9968-aafba2d4beea, greedy: 294, nn: 298
graph: 9918c3e2-ffbb-4db8-90a8-5546c92e3623, greedy: 295, nn: 295
